# version: 1_001
# Absolute Astrometry Derived From: 
# Dir = /u/shoko/AbsoluteRef2017/H_ver2_jknife/
# Number of IR Mosaics = 13
# Scale = 999.9369 +/- 0.0518 mas/pix
# Angle = 0.074 +/- 0.001 deg
# x0err = 0.374 mas
# y0err = 0.336 mas
#
#Name           K         x       y    xerr    yerr         vx       vy    vxerr    vyerr         t0 use?     r2d
#()         (mag)    (asec)  (asec)  (asec)  (asec)   (mas/yr) (mas/yr) (mas/yr) (mas/yr)     (year)   ()  (asec)
S0-6         14.3     0.01543  -0.35634   0.00020   0.00022     -5.057    3.065    0.051    0.075   2010.860    1   0.357
S0-7         15.4     0.52680   0.10023   0.00026   0.00029      5.711    0.727    0.052    0.069   2012.371    1   0.536
S0-11        15.4     0.48961  -0.06573   0.00022   0.00043     -3.637   -2.530    0.033    0.080   2011.368    1   0.494
S0-12        14.4    -0.54973   0.41975   0.00022   0.00021      1.060    3.399    0.045    0.055   2011.532    1   0.692
S0-13        13.5     0.55753  -0.40733   0.00020   0.00024      1.874    3.136    0.048    0.063   2011.000    1   0.690
S0-14        13.9    -0.75330  -0.28877   0.00022   0.00028      2.514   -1.446    0.051    0.082   2011.401    1   0.807
S1-5         12.7     0.31420  -0.88326   0.00024   0.00018     -3.671    4.304    0.067    0.053   2011.077    1   0.937
S1-1         13.2     1.04678   0.03476   0.00022   0.00022      5.909    1.217    0.064    0.076   2010.943    1   1.047
S1-8         14.4    -0.58044  -0.92001   0.00039   0.00048      9.350   -5.626    0.094    0.122   2010.388    1   1.088
S1-10        15.0    -1.09429  -0.01280   0.00029   0.00040      4.632    1.568    0.084    0.084   2011.172    1   1.094
irs16NW      10.1     0.08799   1.22015   0.00022   0.00021      6.172    0.731    0.060    0.058   2011.255    1   1.223
irs16C        9.9     1.03523   0.56138   0.00026   0.00023     -9.004    7.412    0.089    0.073   2011.266    1   1.178
S1-33        15.2    -1.24550   0.01123   0.00043   0.00035      0.013    5.171    0.119    0.130   2012.646    1   1.246
S1-34        13.1     0.87895  -0.99601   0.00021   0.00021      2.923   -0.854    0.048    0.058   2011.555    1   1.328
S1-14        13.0    -1.31186  -0.38185   0.00021   0.00020      5.639   -8.185    0.056    0.038   2011.047    1   1.366
S1-15        14.1    -1.35431   0.48196   0.00044   0.00057      0.089   -4.346    0.147    0.166   2011.917    1   1.438
S1-17        12.4     0.47701  -1.53418   0.00020   0.00019      0.112   -5.660    0.051    0.059   2010.977    1   1.607
S1-20        12.5     0.45033   1.60316   0.00020   0.00021      4.201   -0.276    0.054    0.054   2011.328    1   1.665
S1-53        15.3     1.66944  -0.09457   0.00044   0.00041     -0.524    2.482    0.133    0.122   2011.811    1   1.672
S1-21        13.5    -1.63284   0.08338   0.00020   0.00032      4.393   -5.476    0.053    0.112   2011.708    1   1.635
S1-22        12.8    -1.55987  -0.52634   0.00016   0.00026      8.323   -3.326    0.040    0.063   2011.063    1   1.646
S1-23        11.8    -0.89135  -1.50371   0.00021   0.00021      4.497   -3.498    0.056    0.059   2011.169    1   1.748
S1-24        11.5     0.73815  -1.66106   0.00017   0.00018      2.666   -6.544    0.042    0.051   2011.186    1   1.818
S1-25        13.5     1.67929  -0.60565   0.00021   0.00022      3.243    2.866    0.065    0.051   2011.306    1   1.785
S1-64        15.4     0.66129   1.82033   0.00043   0.00069      2.173    1.632    0.123    0.167   2011.837    1   1.937
S1-68        13.4     1.82576  -0.65821   0.00026   0.00021     -5.114   -5.407    0.049    0.067   2011.075    1   1.941
S2-12        15.1     1.63185   1.13971   0.00028   0.00032     -5.490   -3.624    0.070    0.068   2011.379    1   1.990
S2-34        15.4     1.84783   1.01396   0.00044   0.00057      3.237    5.311    0.114    0.161   2012.311    1   2.108
S2-5         13.4     1.94566  -0.78047   0.00022   0.00019      5.551    5.366    0.075    0.060   2011.282    1   2.096
S2-11        11.9     1.96720  -0.60693   0.00020   0.00018     -0.817    1.732    0.059    0.052   2010.915    1   2.059
S2-4         12.1     1.52802  -1.45558   0.00018   0.00016      8.143    2.842    0.057    0.042   2011.282    1   2.110
irs29S       11.4    -1.83809   0.96028   0.00021   0.00026      0.294   -0.059    0.058    0.079   2011.193    1   2.074
S2-8         12.2    -1.95430   0.88949   0.00026   0.00030      1.973    1.857    0.071    0.084   2011.134    1   2.147
S2-3         14.4    -1.51199  -1.41411   0.00054   0.00054      4.253   -0.572    0.115    0.170   2011.543    1   2.070
S2-2         14.1    -0.51850   2.09647   0.00022   0.00034      2.536    4.550    0.066    0.109   2011.288    1   2.160
irs29N       10.3    -1.54813   1.36278   0.00020   0.00022      5.084   -5.559    0.056    0.066   2011.303    1   2.062
irs16SW-E    11.3     1.90220  -1.11279   0.00014   0.00009      5.964    3.829    0.053    0.016   2011.256    1   2.204
irs33N       11.4    -0.02520  -2.24657   0.00016   0.00024      3.541   -5.929    0.045    0.074   2010.728    1   2.247
S2-47        14.4     2.19455  -0.51400   0.00029   0.00022      0.045    1.961    0.081    0.062   2011.139    1   2.254
S2-17        10.7     1.35451  -1.87920   0.00018   0.00016      9.192   -0.143    0.059    0.038   2011.260    1   2.316
S2-16        12.2    -1.07974   2.05608   0.00019   0.00021     -8.887   -1.109    0.048    0.057   2011.253    1   2.322
S2-22        13.0     2.29794  -0.19833   0.00023   0.00020     -1.783    6.277    0.075    0.069   2011.232    1   2.306
S2-18        13.3    -1.00281  -2.15088   0.00021   0.00026     -2.396   -2.053    0.060    0.075   2011.197    1   2.373
S2-21        13.5    -1.60607  -1.67865   0.00024   0.00022      9.543   -3.841    0.054    0.061   2011.360    1   2.323
S2-55        15.3     0.90933  -2.19173   0.00019   0.00036      3.476    0.352    0.034    0.097   2011.971    1   2.373
S2-57        14.4    -1.13775  -2.08202   0.00029   0.00038      8.721    4.047    0.090    0.123   2011.548    1   2.373
S2-58        14.1     2.14304  -1.11596   0.00027   0.00025     -0.758    6.508    0.109    0.069   2011.792    1   2.416
S2-24        13.8    -2.33629  -0.88937   0.00025   0.00023     -0.365    0.796    0.075    0.063   2011.065    1   2.500
S2-25        13.9     0.76265  -2.41998   0.00023   0.00026      2.687    3.354    0.067    0.060   2011.363    1   2.537
S2-67        13.6    -2.46693  -0.89073   0.00023   0.00024      3.675   -6.400    0.053    0.060   2011.194    1   2.623
S2-69        14.7    -0.88405   2.56465   0.00029   0.00028     -1.539    5.163    0.061    0.068   2011.887    1   2.713
S2-75        14.5     2.63361  -0.84453   0.00017   0.00024     -0.359    4.851    0.042    0.070   2011.753    1   2.766
S2-74        13.3     0.10405   2.77889   0.00020   0.00026     -8.691    1.078    0.056    0.054   2011.381    1   2.781
S2-31        13.1     2.75420  -0.19120   0.00013   0.00021     -6.806    1.247    0.034    0.062   2011.068    1   2.761
S2-78        13.8    -2.81922  -0.28139   0.00021   0.00051     -1.765    0.597    0.052    0.098   2011.203    1   2.833
S2-277       14.9    -2.43470  -1.43557   0.00026   0.00043      3.025    0.885    0.055    0.107   2012.016    1   2.826
S2-81        15.4     1.97399  -2.03099   0.00028   0.00042     -0.848    3.719    0.089    0.152   2012.811    1   2.832
S2-29        15.4     1.95126  -2.16334   0.00029   0.00025      0.876   -2.272    0.111    0.047   2011.539    1   2.913
S2-85        12.3    -1.29784   2.66869   0.00019   0.00025     -5.100   -3.390    0.047    0.064   2011.248    1   2.968
S2-32        12.2     1.12425   2.78442   0.00025   0.00026     -0.234    1.526    0.069    0.056   2011.220    1   3.003
S3-51        15.2    -0.14439   3.02722   0.00037   0.00030      0.741    1.281    0.128    0.057   2012.077    1   3.031
irs16NE       9.1     2.89890   0.94546   0.00023   0.00023      2.886   -9.270    0.063    0.063   2011.064    1   3.049
S3-2         12.0     3.09103   0.55109   0.00016   0.00021      4.283    0.893    0.037    0.059   2011.275    1   3.140
S3-4         14.8     3.06768  -0.47007   0.00017   0.00029     -2.504    5.512    0.056    0.068   2011.530    1   3.103
S3-3         15.2     3.09327  -0.64034   0.00035   0.00051      3.601    3.993    0.103    0.096   2010.804    1   3.159
S3-88        14.4    -0.84648  -2.99451   0.00038   0.00035      1.528    3.216    0.140    0.097   2011.455    1   3.112
S3-5         12.0     2.96289  -1.14452   0.00017   0.00013      2.775    4.625    0.055    0.038   2011.339    1   3.176
irs33E       10.3     0.71327  -3.13839   0.00017   0.00025      6.774   -1.278    0.054    0.068   2011.051    1   3.218
S3-17        13.7    -1.39161   2.85398   0.00040   0.00046      6.402    1.775    0.128    0.127   2011.481    1   3.175
S3-20        14.6     1.58313  -2.78542   0.00015   0.00026     -0.421    0.955    0.031    0.067   2011.560    1   3.204
S3-19        12.1    -1.53811  -2.79905   0.00027   0.00024      8.038   -1.745    0.073    0.065   2011.128    1   3.194
S3-6         12.9     3.23432  -0.05800   0.00017   0.00022      1.388   -7.557    0.051    0.074   2011.059    1   3.235
S3-22        11.3    -0.33596  -3.21199   0.00020   0.00025      3.266   -1.370    0.048    0.069   2010.895    1   3.230
S3-7         13.7     1.91944  -2.61270   0.00020   0.00021     -0.855   -0.736    0.064    0.059   2011.330    1   3.242
S3-25        13.9     1.39594   2.95432   0.00026   0.00024     -7.033    0.386    0.080    0.070   2011.613    1   3.268
S3-134       14.0    -1.38686  -3.01379   0.00027   0.00033      1.691    1.668    0.065    0.074   2011.290    1   3.318
S3-136       14.8    -3.03167  -1.41972   0.00035   0.00051     -3.689    0.071    0.080    0.124   2011.159    1   3.348
S3-26        12.5    -2.56654  -2.07067   0.00023   0.00021      5.970    1.494    0.066    0.066   2011.080    1   3.298
S3-149       13.3    -2.89867   1.71488   0.00024   0.00028      2.778    6.782    0.047    0.088   2011.241    1   3.368
S3-153       15.7     1.58907   2.98700   0.00058   0.00051     -3.689    3.071    0.130    0.165   2012.992    1   3.383
S3-28        13.9    -0.82536   3.22333   0.00020   0.00025      8.241   -5.030    0.051    0.065   2011.016    1   3.327
S3-27        14.0    -0.32777   3.31483   0.00020   0.00036     -1.225   -6.078    0.055    0.082   2011.328    1   3.331
S3-155       15.3    -1.84223  -2.82797   0.00045   0.00068      0.556    2.049    0.152    0.195   2011.721    1   3.375
S3-156       13.2     0.41980  -3.36902   0.00021   0.00037     -1.611   -2.052    0.059    0.111   2011.570    1   3.395
irs13E1      10.8    -2.98136  -1.66198   0.00022   0.00023     -3.655   -2.667    0.073    0.069   2011.091    1   3.413
S3-29        13.7     1.43603  -3.07458   0.00024   0.00028      2.110    1.891    0.083    0.087   2010.611    1   3.393
S3-30        12.5     1.65957  -2.93365   0.00024   0.00018     -0.800    4.070    0.078    0.047   2010.691    1   3.371
S3-32        15.3     2.85365  -1.76513   0.00054   0.00027     -8.565    0.289    0.169    0.070   2011.546    1   3.355
S3-172       15.3     3.39085  -0.58539   0.00038   0.00059      1.163   -0.291    0.154    0.148   2009.812    1   3.441
S3-187       14.6    -3.40285  -0.74656   0.00015   0.00031     -1.142   -0.512    0.032    0.078   2011.104    1   3.484
S3-190       14.3    -3.19319   1.40761   0.00028   0.00034     -2.895   -3.163    0.058    0.088   2011.346    1   3.490
S3-198       13.6     0.65134   3.44763   0.00023   0.00023     -0.163   -1.588    0.067    0.063   2011.201    1   3.509
S3-35        13.8    -1.21310   3.27852   0.00023   0.00035     -4.113   -4.864    0.073    0.118   2011.012    1   3.496
S3-10        12.2     3.33877  -1.10095   0.00015   0.00016     -0.339    5.158    0.042    0.046   2011.517    1   3.516
S3-11        15.0     2.96341  -1.90009   0.00027   0.00029     -0.199    2.832    0.081    0.090   2011.744    1   3.520
irs13E4      12.0    -3.24367  -1.40763   0.00048   0.00023     -5.703    1.235    0.166    0.068   2010.592    1   3.536
S3-207       13.9     1.55071   3.21150   0.00027   0.00018      2.628    2.569    0.085    0.065   2010.816    1   3.566
S3-36        14.7     3.47245  -0.81067   0.00025   0.00034      1.255    1.880    0.068    0.083   2010.843    1   3.566
S3-216       15.1    -3.13817   1.67778   0.00035   0.00036      1.520    3.535    0.112    0.103   2011.738    1   3.559
S3-223       15.0     1.28760  -3.36417   0.00056   0.00053      1.727   -0.521    0.108    0.133   2011.035    1   3.602
irs13E2      10.8    -3.20983  -1.72940   0.00023   0.00024     -6.482    0.756    0.074    0.066   2011.052    1   3.646
S3-37        14.9     3.42012   1.36159   0.00029   0.00054      3.656    2.303    0.096    0.109   2011.334    1   3.681
S3-39        13.5     3.55308   1.07954   0.00028   0.00024     -2.486   -2.008    0.082    0.048   2011.860    1   3.713
S3-284       13.8    -2.56664   2.71122   0.00022   0.00027      1.588   -0.219    0.062    0.070   2011.125    1   3.733
S3-286       15.3     3.39881  -1.51513   0.00022   0.00027     -3.805    2.597    0.063    0.066   2012.208    1   3.721
S3-288       14.2    -2.77744   2.53549   0.00027   0.00032     -2.833   -0.230    0.077    0.089   2011.326    1   3.761
S3-291       12.3    -3.52719  -1.25252   0.00018   0.00025      3.933    2.202    0.054    0.071   2010.889    1   3.743
S3-314       15.4     3.84284  -0.08132   0.00034   0.00048      2.864    3.481    0.111    0.124   2012.024    1   3.844
S3-319       15.3     3.57475  -1.45193   0.00020   0.00045      1.738   -8.278    0.063    0.152   2011.119    1   3.858
S3-331       13.6    -1.21876   3.65878   0.00023   0.00025      5.988    4.185    0.065    0.071   2011.264    1   3.856
S3-364       14.5    -0.97519   3.79606   0.00038   0.00031     -8.177   -0.981    0.081    0.061   2011.980    1   3.919
S3-13        13.4     3.84175   0.98969   0.00017   0.00021      2.508    9.010    0.049    0.061   2011.291    1   3.967
S3-370       13.7    -0.28342  -3.90887   0.00019   0.00023      0.566    4.338    0.045    0.061   2011.249    1   3.919
S3-374       12.6    -2.75515  -2.85584   0.00020   0.00020     -0.294   -4.369    0.067    0.056   2010.986    1   3.968
S3-383       15.4     3.91781  -0.54948   0.00039   0.00030     -2.150    3.449    0.125    0.056   2012.053    1   3.956
S4-1         13.2     3.99552  -0.36207   0.00016   0.00017     -4.679    0.595    0.043    0.038   2011.249    1   4.012
S4-24        13.9    -0.71924   4.00245   0.00028   0.00023      2.477    1.589    0.090    0.057   2011.333    1   4.067
S4-36        12.6    -3.69998   1.77216   0.00030   0.00030     -4.887   -4.694    0.060    0.086   2011.205    1   4.102
S4-2         12.5     3.76471   1.64962   0.00019   0.00020      1.736   -1.939    0.049    0.060   2010.880    1   4.110
S4-46        14.6     3.84011  -1.47600   0.00019   0.00029     -1.645    2.112    0.050    0.068   2011.362    1   4.114
S4-50        15.7     3.08152   2.76106   0.00027   0.00065     -1.095    2.849    0.113    0.196   2011.385    1   4.138
S4-51        15.5     3.17377   2.62903   0.00023   0.00040     -5.775    3.830    0.048    0.143   2011.157    1   4.121
S4-56        15.3    -0.98792   3.98568   0.00053   0.00062      3.205   -1.751    0.133    0.187   2012.310    1   4.106
S4-59        13.8    -3.15218   2.64487   0.00033   0.00033      1.984    0.019    0.096    0.083   2011.104    1   4.115
S4-71        12.4     0.77097  -4.09763   0.00020   0.00022      0.022   -4.566    0.065    0.060   2011.294    1   4.170
S4-82        15.6     2.63600   3.26983   0.00048   0.00025      5.313    0.036    0.124    0.061   2012.283    1   4.200
S4-3         12.9     4.22323   0.12643   0.00016   0.00021      3.687    1.530    0.039    0.067   2011.079    1   4.225
S4-98        15.0    -4.12628  -0.89093   0.00026   0.00033     -2.593    5.556    0.056    0.081   2011.886    1   4.221
S4-103       15.3     4.20953  -0.36771   0.00031   0.00047     -0.472   -3.116    0.076    0.125   2011.987    1   4.226
S4-112       13.9     2.24268  -3.60653   0.00024   0.00029      0.058    2.136    0.078    0.061   2011.264    1   4.247
S4-6         12.8     3.28579  -2.75284   0.00018   0.00013      2.342   -2.886    0.059    0.024   2011.217    1   4.287
S4-129       12.1     3.69829  -2.22110   0.00017   0.00011      3.208    4.028    0.046    0.034   2011.035    1   4.314
S4-4         12.0     3.60716  -2.44443   0.00016   0.00015      1.954   -6.237    0.047    0.041   2010.758    1   4.357
S4-139       14.5     2.39651  -3.61903   0.00027   0.00046     -4.539   -1.371    0.092    0.143   2011.592    1   4.341
S4-140       15.5     3.16753   2.98359   0.00038   0.00042     -5.031    2.927    0.142    0.126   2011.412    1   4.351
S4-143       13.5     2.90497  -3.24622   0.00023   0.00020      1.614    2.884    0.073    0.054   2011.501    1   4.356
irs34W       11.4    -4.07102   1.54565   0.00031   0.00022     -2.098   -5.604    0.069    0.066   2011.189    1   4.355
S4-158       14.2    -0.84883  -4.34019   0.00022   0.00036      4.656   -3.991    0.047    0.121   2011.844    1   4.422
S4-161       13.6     4.41722  -0.25391   0.00014   0.00017      1.429    2.275    0.040    0.047   2011.009    1   4.425
S4-164       15.7     3.75382   2.32344   0.00046   0.00052      0.291   -4.235    0.075    0.189   2012.287    1   4.415
S4-168       14.1    -1.90934   3.96403   0.00027   0.00028      3.049   -2.738    0.087    0.073   2011.302    1   4.400
S4-169       13.5     4.40798   0.28163   0.00016   0.00022     -2.533    3.951    0.049    0.053   2011.348    1   4.417
S4-170       14.3    -0.57360  -4.41790   0.00032   0.00045     -2.550   -2.345    0.057    0.128   2012.089    1   4.455
