# 1 -- Star Name
# 2 -- X position (arcsec, increasing to the East)
# 3 -- Y position (arcsec, increasing to the North)
# 4 -- X velocity (mas/yr)
# 5 -- Y velocity (mas/yr)
# 6 -- t0 (year)
# 7 -- Variable? flag
# Bandpass Calibration Details:
# Older calibrations not in use anymore are denoted by '_o[#]' suffix to indicate 'old' and 'old version number'
# Default calibrators are listed after each magnitude column header entry.
# Error column indicates uncertainties in the reference magnitude for star (older calibrations did not use this)
# Filt -- Kp: K' band (Abhimat 20190729) -- irs16NW,S3-22,S1-17,S1-34,S4-3,S1-1,S1-21,S3-370,S3-88,S3-36,S2-63
# Filt -- K: K band (Zhuo, Abhimat 20181102) -- irs16NW,S1-17,S1-34,S1-1,S0-14,S1-21
# Filt -- H: H band (Abhimat 20190729) -- irs16NW,S3-22,S1-17,S1-34,S4-3,S1-1,S1-21,S3-370,S3-88,S3-36,S2-63
# Filt -- K_o1: K band (Blum et al. 1996) -- irs16C,irs16NW,irs16NE
# Filt -- Kp_o1: K' band estimated from Keck data -- irs16C,irs16NW,irs16NE
# Filt -- Lp_o1: L' band (Wright et al. in prep) -- irs16C,irs16NW,irs16NE
# Filt -- H_o1: H band (Blum et al. 1996) -- irs16C,irs16NW,irs16NE
# Filt -- Ms_o1: Ms band (Hornstein et al. in prep) -- irs16C,irs16NW
# Filt -- K_o2: K band (Rafelski et al. calibrated from Blum et al. 1996) -- irs16C,irs16NE,irs16SW-E,S2-16,S1-23,S1-3,S1-5,S2-22,S2-5,S1-68,S0-13,S1-25
#Star           x_pos           y_pos           x_vel           y_vel           t0          var?    Kp              Kp_err          K               K_err           H               H_err           K_o1            K_o1_err        Kp_o1           Kp_o1_err       Lp_o1           Lp_o1_err       H_o1            H_o1_err        Ms_o1           Ms_o1_err       K_o2            K_o2_err
b100              8.583           9.937           0.000           0.000         2005.300    0        0.00            0.00            0.00            0.00            0.00            0.00           10.38            0.00           10.38            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
irs1NE            7.672           1.563          -0.783          -3.301         2009.764    0        0.00            0.00            0.00            0.00            0.00            0.00           10.16            0.00           10.75            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
irs1SE            7.520          -0.427           1.907           2.657         2010.007    0        0.00            0.00            0.00            0.00            0.00            0.00           10.25            0.00           10.15            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
irs2             -3.700          -4.712          -1.900          -5.386         2009.365    0       10.758           0.067          10.57            0.00           14.22            0.00           10.46            0.00           10.46            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
irs7              0.035           5.513          -0.145          -4.237         2009.552    1        0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            7.40            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
irs10EE           7.685           4.194           0.311          -2.084         2009.702    0        0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00           11.40            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
irs10W            6.487           5.170          -0.950           5.193         2009.406    0        0.00            0.00            0.00            0.00            0.00            0.00           10.27            0.00           10.27            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
irs12N           -3.267          -6.917          -1.041          -2.389         2009.712    0        0.00            0.00            0.00            0.00            0.00            0.00            8.53            0.00            8.53            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
irs14NE           0.919          -8.140           3.940          -2.908         2010.170    0        0.00            0.00            0.00            0.00            0.00            0.00            9.75            0.00            9.75            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
irs14SW          -0.196          -8.916           0.665           5.043         2010.669    0        0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00           10.20            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
irs15NE           1.207          11.259          -2.001          -5.377         2009.547    0        0.00            0.00            0.00            0.00            0.00            0.00            8.96            0.00            8.96            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
irs15SW          -0.614          11.703          -2.692           1.343         2008.845    0        0.00            0.00            0.00            0.00            0.00            0.00           10.39            0.00           10.39            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
irs16C            1.051           0.551          -8.990           7.796         2009.529    0        9.9116          0.1756          9.80            0.05           11.998           0.12            9.83            0.00            9.86            0.00            8.14            0.00           11.99            0.00            8.08            0.00            9.83            0.00
irs16CC           1.985           0.598          -1.906           6.637         2009.688    1       10.51            0.00           10.51            0.00           12.28            0.00           10.36            0.00           10.64            0.00            8.97            0.00           12.28            0.00            8.99            0.00           10.60            0.00
irs16NE           2.895           0.961           2.924          -8.891         2009.631    0        9.12            0.056           9.01            0.00           10.94            0.00            9.00            0.00            9.04            0.00            7.37            0.00           10.94            0.00            0.00            0.00            9.00            0.00
irs16NW           0.077           1.221           6.037           1.070         2009.468    1       10.2292          0.0282          9.8624          0.0546         12.3842          0.2147         10.03            0.00           10.03            0.00            8.43            0.00           12.04            0.00            8.41            0.00           10.09            0.00
irs16SW           1.111          -0.949           7.343           3.193         2009.720    1        9.91            0.00            9.91            0.00           11.60            0.00            9.47            0.00            9.47            0.00            8.31            0.00           11.60            0.00            8.14            0.00           10.06            0.00
irs16SW-E         1.894          -1.116           6.051           3.960         2009.742    0       11.09            0.00           11.09            0.00           14.18            0.00            9.93            0.00           11.27            0.00            8.06            0.00           14.18            0.00            7.80            0.00           11.00            0.00
irs17            13.141           5.559          -0.729          -1.004         2009.354    0        0.00            0.00            0.00            0.00           11.23            0.00            8.91            0.00            8.91            0.00            0.00            0.00           11.23            0.00            0.00            0.00            0.00            0.00
irs28            10.486          -5.846           1.688          -5.576         2010.226    0        0.00            0.00            0.00            0.00            0.00            0.00            9.36            0.00            9.36            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
irs29N           -1.557           1.374           4.888          -5.277         2009.646    1       10.27            0.00           10.27            0.00           13.75            0.00            9.92            0.00           10.59            0.00            7.08            0.00           13.75            0.00            6.18            0.00           10.33            0.00
irs33E            0.706          -3.135           6.767          -0.993         2010.044    0       10.1669          0.1756          9.96            0.05           12.238           0.13            9.94            0.00           10.69            0.00            8.55            0.00           12.23            0.00            0.00            0.00            0.00            0.00
