# version: 1_001
#2018-02-07 10:46:13.337861
         Name                                                                            update 
 SgrA          unknown                                                                          
 S0-17         unknown                                                                          
 S0-104        unknown                                                                          
 S0-102        unknown                                                                          
 S0-103        unknown                                                                          
 S0-20         unknown                                                                          
 S0-37         unknown                                                                          
 S0-2          unknown                                                                          
 S0-38         unknown                                                                          
 S0-39         unknown                                                                          
 S0-24         unknown                                                                          
 S0-40         unknown                                                                          
 S0-41         unknown                                                                          
 S0-105        unknown                                                                          
 S0-1          unknown                                                                          
 S0-8          unknown                                                                          
 S0-42         unknown                                                                          
 S0-16         unknown                                                                          
 S0-43         unknown                                                                          
 S0-44         unknown                                                                          
 S0-106        unknown                                                                          
 S0-46         unknown                                                                          
 S0-45         unknown                                                                          
 S0-19         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-48         unknown                                                                          
 S0-3          unknown                                                                          
 S0-6          unknown                                                                          
 S0-47         unknown                                                                          
 S0-49         unknown                                                                          
 S0-50         unknown                                                                          
 S0-51         unknown                                                                          
 S0-23         unknown                                                                          
 S0-26         unknown                                                                          
 S0-53         unknown                                                                          
 S0-5          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-52         unknown                                                                          
 S0-18         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-54         unknown                                                                          
 S0-61         unknown                                                                          
 S0-55         unknown                                                                          
 S0-11         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-60         unknown                                                                          
 S0-58         unknown                                                                          
 S0-28         unknown                                                                          
 S0-57         unknown                                                                          
 S0-59         unknown                                                                          
 S0-4          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-7          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-63         unknown                                                                          
 S0-64         unknown                                                                          
 S0-62         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-27         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-29         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-67         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-66         unknown                                                                          
 S0-65         unknown                                                                          
 S0-30         unknown                                                                          
 S0-70         unknown                                                                          
