|         epoch | filt | nights_combo | num_frames |          med_fwhms |         med_strehls | num_stf_legacy_detections | num_stf_singPSF_detections | num_stf_legacy_detections_faint | num_stf_singPSF_detections_faint | num_stf_legacy_detections_bright | num_stf_singPSF_detections_bright | num_legonly_detections | num_singonly_detections | num_legonly_faint_detections | num_singonly_faint_detections | num_legonly_bright_detections | num_singonly_bright_detections |
| 20060503nirc2 |   kp | single_night |        107 |              57.22 |                0.38 |                     845.0 |                     1530.0 |                           142.0 |                            677.0 |                            703.0 |                             853.0 |                   50.0 |                   735.0 |                         28.0 |                         549.0 |                          22.0 |                          186.0 |
| 20060521nirc2 |   kp | single_night |          8 |               65.9 |               0.275 |                     461.0 |                      564.0 |                            27.0 |                             62.0 |                            434.0 |                             502.0 |                   19.0 |                   122.0 |                          5.0 |                          41.0 |                          14.0 |                           81.0 |
| 20060620nirc2 |   kp | single_night |         52 |  59.80500000000001 |                0.34 |                    1253.0 |                     1337.0 |                           449.0 |                            543.0 |                            804.0 |                             794.0 |                  127.0 |                   211.0 |                        103.0 |                         192.0 |                          24.0 |                           19.0 |
| 20060621nirc2 |   kp | single_night |        119 |              56.09 |                 0.4 |                    1176.0 |                     1477.0 |                           372.0 |                            612.0 |                            804.0 |                             865.0 |                  138.0 |                   439.0 |                        112.0 |                         357.0 |                          26.0 |                           82.0 |
| 20060717nirc2 |   kp | single_night |         64 | 57.394999999999996 |               0.395 |                     999.0 |                     1430.0 |                           244.0 |                            585.0 |                            755.0 |                             845.0 |                  108.0 |                   539.0 |                         74.0 |                         405.0 |                          34.0 |                          134.0 |
| 20070517nirc2 |   kp | single_night |         76 |             57.625 |                0.39 |                    1795.0 |                     1799.0 |                           935.0 |                            946.0 |                            860.0 |                             853.0 |                  314.0 |                   318.0 |                        280.0 |                         289.0 |                          34.0 |                           29.0 |
| 20070810nirc2 |   kp | single_night |         36 |             63.045 |               0.255 |                    1036.0 |                     1124.0 |                           256.0 |                            353.0 |                            780.0 |                             771.0 |                   70.0 |                   158.0 |                         37.0 |                         132.0 |                          33.0 |                           26.0 |
| 20070812nirc2 |   kp | single_night |         54 |             55.335 |                0.36 |                     867.0 |                      804.0 |                           151.0 |                            133.0 |                            716.0 |                             671.0 |                  536.0 |                     6.0 |                        143.0 |                           4.0 |                         393.0 |                            2.0 |
| 20080515nirc2 |   kp | single_night |        135 |              52.94 |                0.31 |                     877.0 |                     1508.0 |                           168.0 |                            670.0 |                            709.0 |                             838.0 |                   46.0 |                   677.0 |                         25.0 |                         516.0 |                          21.0 |                          161.0 |
| 20080724nirc2 |   kp | single_night |        104 |             58.295 |               0.355 |                    1307.0 |                     1054.0 |                           452.0 |                            263.0 |                            855.0 |                             791.0 |                  535.0 |                    38.0 |                        340.0 |                          23.0 |                         195.0 |                           15.0 |
| 20090501nirc2 |   kp | single_night |        133 |              63.22 |                0.34 |                    1303.0 |                     1562.0 |                           469.0 |                            721.0 |                            834.0 |                             841.0 |                  123.0 |                   382.0 |                         96.0 |                         346.0 |                          27.0 |                           36.0 |
| 20090502nirc2 |   kp | single_night |         49 |               57.7 |                0.39 |                    1188.0 |                     1386.0 |                           368.0 |                            555.0 |                            820.0 |                             831.0 |                  119.0 |                   317.0 |                         83.0 |                         258.0 |                          36.0 |                           59.0 |
| 20090504nirc2 |   kp | single_night |         56 |              53.09 |               0.455 |                    1386.0 |                     1417.0 |                           539.0 |                            553.0 |                            847.0 |                             864.0 |                  228.0 |                   259.0 |                        194.0 |                         207.0 |                          34.0 |                           52.0 |
| 20090722nirc2 |   kp | single_night |         29 |              73.41 |                0.23 |                     654.0 |                      750.0 |                            61.0 |                            104.0 |                            593.0 |                             646.0 |                   75.0 |                   171.0 |                         26.0 |                          64.0 |                          49.0 |                          107.0 |
