             epoch filt nights_combo num_frames          med_fwhms         med_strehls
------------------ ---- ------------ ---------- ------------------ -------------------
     20050730nirc2    h single_night          9              81.81                0.08
     20050730nirc2    h single_night          9              81.81                0.08
     20050730nirc2    h single_night          9              81.81                0.08
     20050730nirc2   kp single_night         20  93.83500000000001                0.14
     20050730nirc2   kp single_night         20  93.83500000000001                0.14
     20050730nirc2   kp single_night         20  93.83500000000001                0.14
     20060503nirc2   kp single_night        107              57.22                0.38
     20060521nirc2   kp single_night          8               65.9               0.275
20060620_0621nirc2   kp  multi_night        156              56.95                0.38
     20060620nirc2   kp single_night         52  59.80500000000001                0.34
     20060621nirc2   kp single_night        119              56.09                 0.4
     20060717nirc2   kp single_night         64 57.394999999999996               0.395
     20070517nirc2   kp single_night         76             57.625                0.39
20070810_0812nirc2   kp  multi_night         80              57.08                0.34
     20070810nirc2   kp single_night         36             63.045               0.255
     20070812nirc2   kp single_night         54             55.335                0.36
     20080515nirc2   kp single_night        135              52.94                0.31
     20080724nirc2   kp single_night        104             58.295               0.355
20090501_0504nirc2   kp  multi_night        151               57.5                 0.4
     20090501nirc2   kp single_night        133              63.22                0.34
     20090502nirc2   kp single_night         49               57.7                0.39
     20090504nirc2   kp single_night         56              53.09               0.455
20090722_0724nirc2   kp  multi_night         82             61.295                0.29
     20090722nirc2   kp single_night         29              73.41                0.23
     20090722nirc2    h single_night          4             65.195                0.12
     20090724nirc2   kp single_night         79              60.94                0.29
     20090909nirc2   kp single_night         44              58.14                0.38
20100504_0505nirc2   kp  multi_night        158              60.91                0.34
     20100504nirc2   kp single_night        106              62.45                0.33
     20100505nirc2   kp single_night         60               59.7               0.355
     20100706nirc2   kp single_night        110 60.620000000000005                0.34
     20100815nirc2   kp single_night        127              58.36                0.32
     20110527nirc2   kp single_night        117              63.89                0.31
     20110718nirc2   kp single_night        164              57.87                 0.3
20110823_0824nirc2   kp  multi_night        197              60.12                0.36
     20110823nirc2   kp single_night        102             59.225                0.38
     20110824nirc2   kp single_night        102             61.465                0.33
20120515_0518nirc2   kp  multi_night        202              59.61                0.33
     20120515nirc2   kp single_night        180             59.075                0.33
     20120518nirc2   kp single_night         68  67.50999999999999                0.28
     20120724nirc2   kp single_night        164             58.025                0.37
20130426_0427nirc2   kp  multi_night        135              66.24                0.28
     20130426nirc2   kp single_night         75              64.81                0.27
     20130427nirc2   kp single_night         77              69.87                0.27
     20130720nirc2   kp single_night        195              58.36                0.38
20140319_0320nirc2   kp  multi_night         19              67.48                0.28
     20140319nirc2   kp single_night         17             104.06                0.13
     20140320nirc2   kp single_night         19              67.48                0.28
20140418_0419nirc2   kp  multi_night          4             78.135               0.215
     20140418nirc2   kp single_night          4             78.135               0.215
     20140419nirc2   kp single_night          6            112.645                0.12
     20140512nirc2   kp single_night          9              68.32                0.26
     20140519nirc2   kp single_night        148 63.894999999999996                0.32
20140703_0704nirc2   kp  multi_night        125              70.81                0.27
     20140703nirc2   kp single_night         46             71.795                0.27
     20140704nirc2   kp single_night         86              70.86                0.27
20140803_0806nirc2   kp  multi_night        140 56.769999999999996                0.38
     20140803nirc2   kp single_night         12              92.53                0.17
     20140804nirc2   kp single_night         24             64.245                0.29
     20140806nirc2   kp single_night        126             56.435                0.39
20150331_0402nirc2   kp  multi_night         39              65.62                 0.3
     20150331nirc2   kp single_night         25              68.22                0.28
     20150401nirc2   kp single_night          5              69.19                0.25
     20150402nirc2   kp single_night         17              62.95                0.32
     20150514nirc2   kp single_night         32  81.30000000000001               0.185
20150809_0811nirc2   kp  multi_night        203              57.16                 0.4
     20150809nirc2   kp single_night         43              61.91                0.35
     20150810nirc2   kp single_night         98              56.59                0.41
     20150811nirc2   kp single_night         71              56.43                0.42
     20160503nirc2   kp single_night        166             60.805                0.36
     20160712nirc2   kp single_night         16  76.61500000000001                0.22
     20160713nirc2   kp single_night        148 59.495000000000005                0.33
20170504_0505nirc2   kp  multi_night        184              58.46                0.37
     20170504nirc2   kp single_night        115              70.72                0.28
     20170505nirc2   kp single_night        175              58.38                0.38
     20170507nirc2    h single_night        107              50.79                0.23
     20170718nirc2   kp single_night          9              64.46                0.28
     20170727nirc2   kp single_night         45              78.21                 0.2
20170808_0811nirc2   kp  multi_night        111              53.67                 0.4
