# epoch                 filter
95jun                   k
96jun                   k
97may                   k
98may                   k
98jul                   k
98aug                   k
98oct                   k
99may                   k
99jul                   k
00apr                   k
00may                   k
00jul                   k
00oct                   k
01may                   k
01jul                   k
02apr                   k
02may                   k
02jul                   k
03apr                   k
03jul                   k
03sep                   k
04apr                   k
04jul                   k
04aug                   k
05apr                   k
05junlgs                kp
05jul                   k
20050730nirc2           kp
20060503nirc2           kp
20060620_0621nirc2      kp
20060717nirc2           kp
20070517nirc2           kp
20070810_0812nirc2      kp
20080515nirc2           kp
20080724nirc2           kp
20090501_0504nirc2      kp
20090722_0724nirc2      kp
20090909nirc2           kp
20100504_0505nirc2      kp
20100706nirc2           kp
20100815nirc2           kp
20110527nirc2           kp
20110718nirc2           kp
20110823_0824nirc2      kp
20120515_0518nirc2      kp
20120724nirc2           kp
20130426_0427nirc2      kp
20130720nirc2           kp
20140519nirc2           kp
20140803_0806nirc2      kp
20150809_0811nirc2      kp
20160503nirc2           kp
20160713nirc2           kp
20170504_0505nirc2      kp
20170507nirc2           h
20170813nirc2           h
20170823_0826nirc2      h
20180317nirc2           h
20180322nirc2           h
20180330nirc2           h
20180519nirc2           h
20180524nirc2           h
20180903nirc2           h
20190419nirc2           kp
20190420nirc2           kp
20190513nirc2           kp
20190523nirc2           kp
20190625nirc2           kp
20190630nirc2           kp
20190814nirc2           kp
20190818_0819nirc2      kp
20200707nirc2           kp
20200809nirc2           kp
20210513_0514nirc2      kp
20210713_0714nirc2      kp
20210812_0814nirc2      kp
20220514_0515nirc2      kp
20220719_0722nirc2      kp
20220814_0816nirc2      kp
20220819_0820nirc2      kp
20230512_0513nirc2      kp
