                epoch              jyear num_dets_common num_dets_legonly num_dets_sinonly
--------------------- ------------------ --------------- ---------------- ----------------
     20060503nirc2_kp 2006.3354191901108            17.0              1.0              8.0
20060620_0621nirc2_kp 2006.4687065916778            21.0              2.0              3.0
     20060717nirc2_kp  2006.540298190071            20.0              2.0              4.0
     20070517nirc2_kp  2007.373170864044            25.0              1.0              0.0
20070810_0812nirc2_kp  2007.609247820626            17.0              2.0              7.0
     20080515nirc2_kp 2008.3695866564371            20.0              0.0              6.0
     20080724nirc2_kp 2008.5607735936435            21.0              4.0              0.0
20090501_0504nirc2_kp 2009.3346894741987            26.0              1.0              0.0
20090722_0724nirc2_kp 2009.5599325767114            24.0              2.0              2.0
     20090909nirc2_kp 2009.6885678312567            22.0              4.0              0.0
20100504_0505nirc2_kp 2010.3393629415798            23.0              4.0              2.0
     20100706nirc2_kp 2010.5102020871889            23.0              3.0              1.0
     20100815nirc2_kp 2010.6195305465344            20.0              2.0              2.0
     20110527nirc2_kp 2011.4004248699837            20.0              2.0              1.0
     20110718nirc2_kp  2011.542351193867            22.0              5.0              0.0
20110823_0824nirc2_kp 2011.6419647001524            21.0              3.0              3.0
20120515_0518nirc2_kp 2012.3705367560963            20.0              2.0              3.0
     20120724nirc2_kp 2012.5607411096505            22.0              6.0              1.0
20130426_0427nirc2_kp 2013.3183282024593            22.0              3.0              0.0
     20130720nirc2_kp 2013.5491440813255            25.0              1.0              1.0
     20140519nirc2_kp 2014.3792575736427            24.0              4.0              1.0
20140803_0806nirc2_kp 2014.5944346570152            21.0              1.0              4.0
20150809_0811nirc2_kp 2015.6057692857955            26.0              1.0              1.0
     20160503nirc2_kp  2016.336795607086            22.0              3.0              2.0
     20160713nirc2_kp 2016.5307679146572            20.0              2.0              4.0
20170504_0505nirc2_kp 2017.3414875383066            28.0              1.0              0.0
     20190419nirc2_kp 2019.2965657307684            21.0              2.0              1.0
     20190420nirc2_kp  2019.299335115384            23.0              1.0              5.0
     20190513nirc2_kp 2019.3620993428015            21.0              3.0              3.0
     20190523nirc2_kp 2019.3894533711818            23.0              2.0              3.0
     20190625nirc2_kp  2019.479695384592            23.0              3.0              0.0
     20190630nirc2_kp  2019.493379822554            26.0              0.0              1.0
     20190814nirc2_kp  2019.616130709596            22.0              2.0              1.0
20190818_0819nirc2_kp  2019.628701132577            26.0              1.0              0.0
     20200707nirc2_kp  2020.514330026545            23.0              4.0              1.0
     20200809nirc2_kp 2020.6045437441135            21.0              4.0              2.0
20210513_0514nirc2_kp 2021.3661468184243            23.0              0.0              2.0
20210713_0714nirc2_kp  2021.530537767433            26.0              1.0              1.0
20210812_0814nirc2_kp 2021.6144795525472            26.0              1.0              1.0
20220514_0515nirc2_kp 2022.3656346934902            26.0              2.0              1.0
20220719_0722nirc2_kp 2022.5515118598776            27.0              2.0              1.0
20220814_0816nirc2_kp 2022.6194624362154            27.0              0.0              1.0
20220819_0820nirc2_kp  2022.631237194364            25.0              3.0              2.0
20230512_0513nirc2_kp 2023.3619145292844            27.0              0.0              0.0
